onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file_TODO	trial_index
196.277	0.635	tomspunt	open mouth?	how_face	no	no	correct	task-tomspunt/F_648.jpg	86
197.227	0.539	tomspunt	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_692.jpg	87
198.077	0.805	tomspunt	open mouth?	how_face	no	no	correct	task-tomspunt/F_584.jpg	88
204.304	2.101	tomspunt	proud?	block_question_presentation	n/a	n/a	n/a	n/a	89
209.315	0.718	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_582.jpg	89
210.349	1.051	tomspunt	proud?	why_face	no	no	correct	task-tomspunt/F_776.jpg	90
211.716	0.719	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_598.jpg	91
212.75	0.935	tomspunt	proud?	why_face	no	no	correct	task-tomspunt/F_412.jpg	92
214.0	0.735	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_618.jpg	93
215.05	0.685	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_083.jpg	94
216.051	0.735	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_695.jpg	95
217.101	0.765	tomspunt	proud?	why_face	no	no	correct	task-tomspunt/F_760.jpg	96
222.528	2.101	tomspunt	helping?	block_question_presentation	n/a	n/a	n/a	n/a	97
227.538	1.186	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_024.jpg	97
229.039	1.001	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_474.jpg	98
230.356	0.652	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_349.jpg	99
231.323	0.942	tomspunt	helping?	why_hand	no	no	correct	task-tomspunt/H_091.jpg	100
232.574	0.859	tomspunt	helping?	why_hand	no	no	correct	task-tomspunt/H_012.jpg	101
