onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file
185.865	0.3	tomspunt	pressing button?	block_question_presentation	n/a	n/a	n/a	n/a
203.655	2.101	tomspunt	competing?	block_question_presentation	n/a	n/a	n/a	n/a
203.655	0.3	tomspunt	competing?	block_question_presentation	n/a	n/a	n/a	n/a
221.729	2.101	tomspunt	self-doubt?	block_question_presentation	n/a	n/a	n/a	n/a
221.729	0.3	tomspunt	self-doubt?	block_question_presentation	n/a	n/a	n/a	n/a
240.786	2.101	tomspunt	looking at camera?	block_question_presentation	n/a	n/a	n/a	n/a
240.786	0.3	tomspunt	looking at camera?	block_question_presentation	n/a	n/a	n/a	n/a
259.576	2.101	tomspunt	both hands?	block_question_presentation	n/a	n/a	n/a	n/a
259.576	0.3	tomspunt	both hands?	block_question_presentation	n/a	n/a	n/a	n/a
278.366	2.101	tomspunt	self-protection?	block_question_presentation	n/a	n/a	n/a	n/a
278.366	0.3	tomspunt	self-protection?	block_question_presentation	n/a	n/a	n/a	n/a
